type,actual_time_sec,actual_time_hms,actual_load,planned_time_sec,planned_time_hms,planned_load,delta_time_sec,delta_load
gravel ride,26779,7h 26m 19s,438.0,0,0h 00m,0.0,26779,438.0
virtual ride,19475,5h 24m 35s,256.0,0,0h 00m,0.0,19475,256.0
