type,actual_time_sec,actual_time_hms,actual_load,planned_time_sec,planned_time_hms,planned_load,delta_time_sec,delta_load
gravel ride,25319,7h 01m 59s,391.0,0,0h 00m,0.0,25319,391.0
virtual ride,19861,5h 31m 01s,281.0,0,0h 00m,0.0,19861,281.0
